filename,BLEU-1,BLEU-4,METEOR,ROUGE-L,CIDER,sBERT
sample.csv,30.462,8.638,26.374,23.724,36.012,69.208
,,,,,,
,,,,,,
"{'BLEU-1': '29.643', 'BLEU-4': '8.227', 'METEOR': '26.491', 'ROUGE-L': '26.316', 'CIDER': '34.452', 'sBERT': '68.981'}",,,,,,
,,,,,,
"{'BLEU-1': '27.329', 'BLEU-4': '6.703', 'METEOR': '23.494', 'ROUGE-L': '22.765', 'CIDER': '26.511', 'sBERT': '63.341'}",,,,,,
,,,,,,
"{'BLEU-1': '27.580', 'BLEU-4': '6.210', 'METEOR': '25.124', 'ROUGE-L': '24.459', 'CIDER': '25.443', 'sBERT': '66.516'}",,,,,,
